__fuente__,fecha_inicio,fecha_fin_iso,descripcion,observaciones,fecha_inicio_iso,fecha_cronica,folios,signatura,fecha_fin,fecha_topica
Denegri-Documentos.xlsx,1866-Mar.-28,,Título de subteniente efectivo de la Infantería del Ejército expedido en favor de Marcial Alomía por el gobierno de Mariano Ignacio Prado.,Texto impreso y manuscrito. Antigua signatura: A3,1866-03-28,1866-Mar.-28,1 f.u.,FDL-0015,,Lima
Denegri-Documentos.xlsx,1863-May.-08,,"Nombramiento de alumno del Colegio Militar, expedido en favor de Manuel Sarmiento por Manuel de la Guarda, general de brigada del Ejército Nacional y ministro de guerra y marina.",Texto manuscrito. Antigua signatura: A3,1863-05-08,1863-May.-08,1 f.u.,FDL-0016,,Lima
Denegri-Documentos.xlsx,1863-Feb.-27,,"Cédula de licencia absoluta expedida para el guardia marina Javier de la Puente por Isidro Frisancho, general de brigada del Ejército Nacional y ministro de guerra y marina.",Texto manuscrito. Antigua signatura: A3.,1863-02-27,1863-Feb.-27,2 f.u.,FDL-0017,,Lima
Denegri-Documentos.xlsx,1813-May.-16,,"Real provisión de Fernando VII por la que confiere a Juan Valdéz, capitán del Regimiento de Infantería de Lima, la plaza de capitán de la Compañía de Granaderos del mismo regimiento.","Texto impreso y manuscrito, (Tinta desvanecida, zona del sello perdida, y en general, oscurecida por suciedad) Antigua signatura: A3",1813-05-16,1813-May.-16,1 f.u.,FDL-0018,,Cádiz
Denegri-Documentos.xlsx,1813-Jul.-26,,Real Orden que comúnica un decreto de las Cortes de Cádiz por el que disminuyen los gravámenes impuestos a las provincias.,Texto impreso y manuscrito. Antigua signatura: A3,1813-07-26,1813-Jul.-26,1 f.u.,FDL-0019,,Cádiz
Denegri-Documentos.xlsx,1814-May.-19,,Real Orden del Rey por la que anula el empleo de jefe político y ordena que el mando político esté reunido en los capitánes y comandantes generales de las provincias.,Texto impreso y manuscrito. (Manchado). Antigua signatura: A3,1814-05-19,1814-May.-19,1 f.u.,FDL-0020,,Madrid
Denegri-Documentos.xlsx,1814-Mar.-29,,Carta dirigida por José G. Moscoso al Comandante del Partido de Arica en la que informa acerca del recojo de la moneda de sol sellada y repartida en Potosí por los insurgentes de Río de la Plata.,"Texto manuscrito, con hongos. Antigua signatura: A3",1814-03-29,1814-Mar.-29,1 f.u.,FDL-0021,,Arequipa
Denegri-Documentos.xlsx,1842-Abr.-15,,Libro copiador de la correspondencia dirigida por la Subprefectura de la Provincia de Chuquibamba a la Administración del Tesoro Público y a otras dependencias estatales.,"Texto manuscrito, cosido. Antigua signatura: A3",1842-04-15,1842-Abr.-15,4 f.u. y 6 b.,FDL-0022,,Chuquibamba
Denegri-Documentos.xlsx,1851,,"Fragmento de copia simple de una solicitud presentada por Toribio Cuadros, quien pide que se le dé testimonio de una escritura de venta de tierras otorgada en su favor por el indígena Hipólito Palcha.","Texto manuscrito, con hongos. Antigua signatura: A3",,1851,2 f.u.,FDL-0023,,
Denegri-Documentos.xlsx,1826-Mar.-31,,Oficio dirigido a la Intendencia de Condesuyos por la Comisión de Hacienda del Sur.,Texto manuscrito. Antigua signatura: A3,1826-03-31,1826-Mar.-31,1 f.u.,FDL-0024,,Arequipa
Denegri-Documentos.xlsx,1826-Jul.-5,,Oficios dirigidos a la Intendencia de la Provincia de Chuquibamba por la Aduana de Arequipa.,"Texto manuscritos, 2 Unidades. Antigua signatura: A3",1826-07-05,1826-Jul.-5/14,2 f.u. y 2 b.,FDL-0026,14,Arequipa
Denegri-Documentos.xlsx,1826-Jun.-23,,Oficio dirigido a la Intendencia de la Provincia de Chuquibamba por el Visitador General de Hacienda.,Texto manuscrito. Antigua signatura: A3,1826-06-23,1826-Jun.-23,1 f.u. Y 1b.,FDL-0027,,Arequipa
Denegri-Documentos.xlsx,1806-Abr.-04,,Copia simple de un expediente del Tribunal del Consulado donde se trata acerca del estado del comercio en aquella época.,"Texto manuscrito, cosido. Antigua signatura: A3",1806-04-04,1806-Abr.-04,28 f.u.,FDL-0028,,Lima
Denegri-Documentos.xlsx,1825-Feb.-24,,Oficio dirigido por la Secretaría General del Congreso Constituyente al Ministro de Gobierno y Relaciones Exteriores.,Texto manuscrito. Antigua signatura: A3,1825-02-24,1825-Feb.-24,1 f.u.,FDL-0029,,Lima
Denegri-Documentos.xlsx,1870-Jun.-27,1872-10-25,Expediente de un proceso seguido por María González.,"Texto manuscrito, cosido. Antigua signatura: A3",1870-06-27,1870-Jun.-27/1872-Oct.-25,23 f.u.,FDL-0030,1872-Oct.-25,Lima
Denegri-Documentos.xlsx,1818-Abr.-05,,Reproducción de una carta escrita en 1818 por Bernardo O'Higgins al Supremo Director de las Provincias Unidas de Sudamérica.,Antigua signatura: A3,1818-04-05,1818-Abr.-05,1 f.u.,FDL-0031,,Santiago de Chile
Denegri-Documentos.xlsx,1818-Abr.-05,,Reproducción de una carta escrita en 1818 por José de San Martín al Supremo Director de las Provincias Unidas de Sudamérica.,Antigua signatura: A3,1818-04-05,1818-Abr.-05,1 f.u.,FDL-0032,,Maypu
Denegri-Documentos.xlsx,1792-Feb.-09,,"Título de comisario interino de cruzada en el Obispado de Arequipa, expedido en favor del canónigo doctoral Francisco Javier de Echevarría.","Texto manuscrito, presenta el borde inferior quemado. Antigua signatura: A4",1792-02-09,1792-Feb.-09,2 f.u.,FDL-0033,,Lima
Denegri-Documentos.xlsx,1796-Abr.-03,,"Certificación de méritos expedida por Antonio Álvarez y Jiménez, teniente coronel de los Reales Ejércitos de la Provincia de Arequipa, en favor de Francisco Javier de Echevarría.","Texto manuscrito, presenta el borde inferior quemado. Antigua signatura: A4",1796-04-03,1796-Abr.-03,3 f.u.,FDL-0034,,Arequipa
Denegri-Documentos.xlsx,1789-Abr.-01,,"Certificación de méritos expedida por Antonio Álvarez y Jiménez, teniente coronel de los Reales Ejércitos de la Provincia de Arequipa, en favor de Francisco Javier de Echevarría.","Texto manuscrito, con hongos, presenta los bordes inferiores laterales quemado. (Zonas perdidas). Antigua signatura: A4",1789-04-01,1789-Abr.-01,2 f.u.,FDL-0035,,Arequipa
Denegri-Documentos.xlsx,1803-Abr.-17,,"Certificación de méritos expedida por José González Terán, provincial en la provincia de la Visitación de Santa Isabel del Cuzco, a favor de Francisco Javier Echevarría. Convento de San Juan de Jetrán Arequipa.","Texto manuscrito, presenta el borde inferior quemado. Antigua signatura: A4",1803-04-17,1803-Abr.-17,2 f.u.,FDL-0036,,Cuzco
Denegri-Documentos.xlsx,1792-Ago.-01,,"Cartas, cuentas, y recibos relativos al maestre escuela Francisco Javier de Echevarría, tesorero de la Catedral de Arequipa.","Texto manuscrito, con hongos, 67 Unidades. Antigua signatura:A4",1792-08-01,1792-Ago.-01,83 f.u.,FDL-0037,,"Carabaya, Potosí, Buenos Aires"
Denegri-Documentos.xlsx,1881-Feb.-12,,Vales de Hacienda. El Naranjal.,"Texto manuscrito, 10 Unidades. Antigua signatura: A5",1881-02-12,1881-Feb.-12/Ago.-20,10 f.u.,FDL-0038,Ago.-20,Naranjal
Denegri-Documentos.xlsx,1868-Jun.-06,1969-02-13,"Cartas y partes enviados a José María Sancho Dávila, Marqués de la Casa Dávila, por José Nicolás Garay, Ramón Azcona y por otro.","Texto manuscrito, 6 Unidades. Antigua signatura: A6",1868-06-06,1868-Jun.-06/1969-Feb.-13,6 f.u.,FDL-0039,1969-Feb.-13,Naranjal
Denegri-Documentos.xlsx,1806-Jul.-22,,"Traslados de un arrendamiento otorgado por Felipe Sancho Dávila, Marqués de la Casa Dávila y regidor de Lima. Además, copia simple del mismo traslado.",2 Unidades. Antigua signatura A7.,1806-07-22,1806-Jul.-22,12 f.u. y 6 b.,FDL-0040,,Lima
Denegri-Documentos.xlsx,1806- Ago.-01,,"Traslado de un arrendamiento otorgado por Felipe Sancho Dávila, regidor de Lima el 1 de agosto de 1806.","Texto manuscrito, cosido, (Quemado por tinta 3%) . Antigua signatura: A7",1806-08-01,1806- Ago.-01,7 f.u. y 1b.,FDL-0041,,Lima
Denegri-Documentos.xlsx,1802-Nov.-15,,"Traslado de un arrendamiento otorgado por Felipe Sancho Dávila, el 15 de noviembre de 1802.","Texto manuscrito, quemado por tinta, Antigua signatura: A7",1802-11-15,1802-Nov.-15,15 f.u.,FDL-0042,,Lima
Denegri-Documentos.xlsx,1806-Oct.-08,1807-05-02,Recibos otorgados a Felipe Sancho Dávila.,"Texto manuscrito, 2 Unidades. Antigua signatura: A7",1806-10-08,1806-Oct.-08/1807-May.-02,2 f.u.,FDL-0043,1807-May.-02,Lima
Denegri-Documentos.xlsx,1806-Ago.-01,,Abono otorgado por Felipe Sancho Dávila. (En un trozo de papel).,Texto manuscrito. Antigua signatura: A7,1806-08-01,1806-Ago.-01,1 f.u.,FDL-0044,,Lima
Denegri-Documentos.xlsx,1806-Jul.-22,,"Copia simple de una escritura de arrendamiento otorgada por Felipe Sancho Dávila a Miguel García Rosillo, el 16 de julio de 1806.",Texto manuscrito. Antigua signatura: A7,1806-07-22,1806-Jul.-22,2 f.u.,FDL-0045,,Lima
Denegri-Documentos.xlsx,1802-Dic.-22,,Minuta de escritura de arrendamiento dirigida al secretario Andrés Sandoval por Felipe Sancho Dávila para que la otorgue en su nombre a favor de Agustín Marchena.,"Texto manuscrito, ligeramente quemada por tinta. Antigua signatura: A7",1802-12-22,1802-Dic.-22,2 f.u.,FDL-0046,,Lima
Denegri-Documentos.xlsx,1757-Set.-03,,Fragmento de una escritura de remate de una plaza de alguacil mayor de corte en favor de Josef del Campo y Bracamonte.,"Texto manuscrito, cosido, con hongos, zonas perdidas y manchada. Antigua signatura: A8",,1757-Set.-03,24 f.u.,FDL-0047,,Lima
Denegri-Documentos.xlsx,1786-Feb.-08,,Traspaso: Domingo Mansilla traspasa a Josef Antonio del Villar una hacienda que tiene impuesto un censo en favor del Monasterio de la Concepción de Lima.,"Texto manuscrito, cosido. Antigua signatura: A8",1786-02-08,1786-Feb.-08,17 f.u.,FDL-0048,,Lima
Denegri-Documentos.xlsx,1791-May.-20,,"Traslado, solicitado por Baltazar de Villalobos, de una escritura de la venta de una casa otorgada por Cristóbal de Orozco y Pacheco a favor de Tiburcio de Villalobos, en 1749.","Texto manuscrito, cosido, Antigua signatura: A9",1791-05-20,1791-May.-20,28 f.u.,FDL-0049,,Lima
Denegri-Documentos.xlsx,1841-Ago.-16,1842-07-26,Cartas remitidas a Manuel Menéndez por Juan Francisco de Reyes.,"Texto manuscrito, 18 Unidades. Antigua signatura: A10",1841-08-16,1841-Ago.-16/1842-Jul.-26,21 fu.,FDL-0050,1842-Jul.-26,"Islay, Arequipa"
Denegri-Documentos.xlsx,1841-Nov.-25,,Oficio dirigido por Juan Francisco de Reyes al Ministro de Guerra y Marina.,"Texto manuscrito, 2 Unidades. Antigua signatura A10",1841-11-25,1841-Nov.-25,2 f.u.,FDL-0051,,Islay
Denegri-Documentos.xlsx,1838-Feb.-16,,Oficio dirigido a Manuel Menéndez por la Intendencia de Policía de la Capital del Estado Norperuano.,Texto manuscrito. Antigua signatura A11,1838-02-16,1838-Feb.-16,1 f.u.,FDL-0052,,Lima
Denegri-Documentos.xlsx,1839-Feb.-16,1842-05-03,Correspondencia particular y oficial dirigida a Manuel Menéndez.,"Texto manuscrito, 5 Unidades. Antigua signatura A11",1839-02-16,1839-Feb.-16/1842-May.-03,5 f.u.,FDL-0053,1842-May.-03,Lima
Denegri-Documentos.xlsx,1843 (c.),,Informe (sin signos de validación) sobre la Judicatura del Callao y Auditoría de Marina.,"Texto manuscrito, (Zonas perdidas 5%). Antigua signatura A11",,1843 (c.),2 f.u.,FDL-0054,,Callao ( Lima)
Denegri-Documentos.xlsx,s,,"Borradores de discursos sobre el aniversario de la independencia del Perú, en trozos de papel, autores anónimos.","Texto manuscrito, 2 Unidades. Antigua signatura A11",,s/f.,2 f.u.,FDL-0055,f.,s/l
Denegri-Documentos.xlsx,s,,Notas de pedido en donde se solicita un carro para el secretario y cañones útiles para el puente.,"Texto manuscrito, 2 Unidades. Antigua signatura A10",,s/f.,2 f.u.,FDL-0056,f.,s/l
Denegri-Documentos.xlsx,1828-Set.-11,,"Oficio dirigido por la Municipalidad a Manuel Menéndez, donde se le comúnica que se le ha elegido comisario del valle de Bocanegra.",Texto impreso. Antigua signatura A11,,1828-Set.-11,1 f.u.,FDL-0057,,Lima
Denegri-Documentos.xlsx,1823-Jun.-04,,"Título de comisario del valle de Bocanegra, expedido en favor de Manuel Menéndez.",Texto manuscrito. Antigua signatura A11,1823-06-04,1823-Jun.-04,1 f.u.,FDL-0058,,Lima
Denegri-Documentos.xlsx,1824-Dic.-23,,"Oficio dirigido por la Prefectura Departamental a Manuel Menéndez, por el que se le comúnica que ha sido reelegido comisario del valle de Bocanegra.",Texto manuscrito. Antigua signatura A11,1824-12-23,1824-Dic.-23,1 f.u.,FDL-0059,,Lima
Denegri-Documentos.xlsx,"1860-11-01

Entr",,"Carta de José de Mendiburu a Manuel Menéndez, alcalde de Lima.",Texto manuscrito. Antigua signatura A11,,Set.-14,1 f.u.,FDL-0060,,Lima
Denegri-Documentos.xlsx,s,,"Solicitud de Manuel Menéndez, quien, como dueño de la Hacienda de Bocanegra, pide al Gobierno que le proporcione ayuda a fin de protegerla y ordenarla.",Texto manuscrito. Antigua signatura A11,,s/f.,2 f.u.,FDL-0061,f.,Lima
Denegri-Documentos.xlsx,s,,"Solicitud de Manuel Menéndez, quien, como dueño de la Hacienda de Bocanegra, pide que le conceda moratoria en relación con el pago de una deuda; debido a los daños sufridos por su hacienda a causa de la guerra civil.",Texto manuscrito. Antigua signatura A11,,s/f.,2 f.u.,FDL-0062,f.,Lima
Denegri-Documentos.xlsx,s,,"Borrador de solicitud de Manuel Menéndez, quien, como dueño de la hacienda de Bocanegra, pide al Gobierno que le otorgue un documento donde se acredite cómo fueron los servicios de unos soldados en relación con la protección de su hacienda.",Texto manuscrito. Antigua signatura A11,,s/f.,1f.u.,FDL-0063,f.,Lima
Denegri-Documentos.xlsx,1832-Feb.-22,,"Título de comisario del valle de Bocanegra, expedido en favor de Manuel Menéndez.",Texto manuscrito. Antigua signatura A11,1832-02-22,1832-Feb.-22,1 f.u.,FDL-0064,,Lima
Denegri-Documentos.xlsx,1845-Dic.-06,,Carta de Manuel Menéndez acerca de lo que se le adeuda por sus servicios como presidente interino de la República.,Texto manuscrito. Antigua signatura A11,1845-12-06,1845-Dic.-06,1 f.u.,FDL-0065,,Callao
Denegri-Documentos.xlsx,1818-Set.-18,,"Nombramiento de Manuel Menéndez como hermano de la ""Hermandad de Cárceles"".",Texto manuscrito. Antigua signatura A11,,1818-Set.-18,1 f.u.,FDL-0066,,Lima
Denegri-Documentos.xlsx,,,"""Una breve suma de las escrituras que se contienen en la archa de este convento Grande del Cuzco, del Real y Militar Orden de Nuestra Señora de la Merced.""",Forrado en pergamino. Se encontraba en la Biblioteca Denegri. Antiguo número de clasificación en Biblioteca: REL-01416.,,s. XVIII,97 f.u. 17 f. B,FDL-1367,,Cuzco
Denegri-Documentos.xlsx,1834-Ene.-01,,Correspondencia del Mariscal Andrés de Santa Cruz.,Encuadernado. Antigua signatura C6,1834-01-01,1834-Ene.-01/Jun.-27,83 f.u.,FDL-0591,Jun.-27,"La Paz, Chuquisaca, Tacari"
Denegri-Documentos.xlsx,1836-Ene.-03,,Correspondencia del Mariscal Luis de Orbegoso al Mariscal Andrés de Santa Cruz.,Encuadernado. Antigua signatura C6,1836-01-03,1836-Ene.-03/Oct.-28,75 f.u.,FDL-0592,Oct.-28,"Tarma, Chorrillos, Trujillo"
Denegri-Documentos.xlsx,1837-Ene.-27,,Correspondencia del Mariscal Luis de Orbegoso al Mariscal Andrés de Santa Cruz.,Encuadernado. Antigua signatura C6,1837-01-27,1837-Ene.-27/Dic.-30,68 f.u.,FDL-0593,Dic.-30,"Lima, Trujillo"
Denegri-Documentos.xlsx,1827-1849,,Hechos seguidos en la vida comercial de Manuel de Argumaniz desde el año de 1827 hasta 1849.,Encuadernado. Antigua signatura C6,,1827-1849,59 f.u.,FDL-0594,,
Denegri-Documentos.xlsx,1849-1857,,Fundación de la primera sociedad de Manuel de Argumaniz con Julián de Zaracondegui 1849 hasta 1857.,Encuadernado. Antigua signatura C6,,1849-1857,75 f.u.,FDL-0595,,
Denegri-Documentos.xlsx,1857-1867,,Viaje a Lima de Manuel de Argumaniz para liquidar las dos sociedades con Julián de Zaracondegui.,Encuadernado. Antigua signatura C6,,1857-1867,104 f.u.,FDL-0596,,
Denegri-Documentos.xlsx,1868-1869,,Resultado del viaje a Lima de Manuel de Argumaniz y conducta observada en 1868 y 1869 por su antiguo socio Julián de Zaracondegui al fundar el Banco de Lima.,Encuadernado. Antigua signatura C6,,1868-1869,131 f.u.,FDL-0597,,
Denegri-Documentos.xlsx,1868-1876,,Contiene copias delas propuestas de Manuel Argumaniz sobre los ferrocarriles. La de centralizar las consignaciones del guano en la colosal casa de Rottschild y varios otros asuntos de interés para el Perú en obras publicas.,Encuadernado. Antigua signatura C6,,1868-1876,150 f.u.,FDL-0598,,
Denegri-Documentos.xlsx,1847-1868,,Reseña de la extraña conducta y procedimientos de los representantes del Perú en Europa.,Encuadernado. Antigua signatura C6,,1847-1868,67 f.u.,FDL-0599,,
Denegri-Documentos.xlsx,1834-Oct.-02,,"Solicitud de Manuel Menéndez, quien, como propietario de la Hacienda de Bocanegra, pide copias auténticas de ciertos informes archivados en el Ministerio de Hacienda.",Texto manuscrito. Antigua signatura A11,1834-10-02,1834-Oct.-02,1 f.u.,FDL-0067,,Lima
Denegri-Documentos.xlsx,1834 ó 1835,,"Borrador de oficio no terminado dirigido al Subprefecto [de Lima] por Manuel Menéndez, como propietario de la Hacienda de Bocanegra.",Texto manuscrito. Antigua signatura A11,,1834 ó 1835,1 f.u.,FDL-0068,,Lima
Denegri-Documentos.xlsx,1832-May.-21,,"Circular de la Subprefectura de Lima dirigida a Manuel Menéndez, comisario del valle de Bocanegra, y a todos los hacendados del territorio a cargo de éste.",Texto manuscrito. Antigua signatura A11,1832-05-21,1832-May.-21,2 f.u.,FDL-0069,,Lima
Denegri-Documentos.xlsx,s,,Copia simple de auto relativo al proceso seguido por Manuel Menéndez contra el Gobierno por daños causados contra su hacienda de Bocanegra durante la guerra.,Texto manuscrito. Antigua signatura A11,,s/f.,2 f.u.,FDL-0070,f.,s/l
Denegri-Documentos.xlsx,1853-Jun.-,,"Libro de cuentas de los trabajadores de la mina ""San Antonio"".",Texto manuscrito. 1 Unidad y carátula. Incluye Carátula. Antigua signatura A11,,1853-Jun.-,4 f.u.,FDL-0071,,s/l
Denegri-Documentos.xlsx,1845-Feb.-12,,"José Antonio Ugarte, vecino de Lima, solicita que se nombre a su hijo José Antonio Ugarte capellán de una capellanía.",Texto manuscrito. Antigua signatura A11,1845-02-12,1845-Feb.-12,1 f.u.,FDL-0072,,Lima
Denegri-Documentos.xlsx,1841-Abr.-23,,Oficio dirigido por la Intendencia de Policía de Lima a José Cirilo Espinoza.,Texto manuscrito. Antigua signatura A11,1841-04-23,1841-Abr.-23,1f.u.,FDL-0073,,Lima
Denegri-Documentos.xlsx,1835,,Relación de cantidades de trigo y harina introducidos en Lima desde julio hasta octubre de 1835.,Texto manuscrito. Antigua signatura A11,,1835,1 f.u.,FDL-0074,,Lima
Denegri-Documentos.xlsx,1840-Feb.-14,,Oficio dirigido a Manuel Menéndez por la Tesorería General.,Texto manuscrito. Antigua signatura A12,1840-02-14,1840-Feb.-14,1 f.u.,FDL-0075,,Lima
Denegri-Documentos.xlsx,1840-Feb.-13,,Oficio dirigido por la Prefectura de Lima a la Administración de la Tesorería General.,Texto manuscrito. Antigua signatura A12,1840-02-13,1840-Feb.-13,1 f.u.,FDL-0076,,Lima
Denegri-Documentos.xlsx,1840-Ago.-08,,Oficio dirigido a Manuel Menéndez por la Beneficencia Pública de Lima.,Texto manuscrito. Antigua signatura A12,1840-08-08,1840-Ago.-08,1 f.u.,FDL-0077,,Lima
Denegri-Documentos.xlsx,1839-Mar.-01,1844-03-18,"Cuentas y recibos de dependencias estatales (Prefectura de Lima, Subprefectura, Cabildo, etc.), pertenecientes en su mayoría del año 1839",Texto manuscrito. 28 Unidades. Antigua signatura A13,1839-03-01,1839-Mar.-01/1844-Mar.-18,45 f.u.,FDL-0078,1844-Mar.-18,Lima
Denegri-Documentos.xlsx,1840-Oct.-31,,"Minuta de arrendamiento otorgado por Manuel Menéndez a Manuel Champa. Bocanegra,",Texto manuscrito. Antigua signatura A14,1840-10-31,1840-Oct.-31,1 f.u.,FDL-0079,,Lima
Denegri-Documentos.xlsx,1840-Ene.-07,,"Documentos (recibos, cuentas) relativos a Manuel Menéndez, como dueño de la Hacienda de Bocanegra.",Texto manuscrito. 18 Unidades. Uno de los recibos está muy quemado por tinta. Antigua signatura A14,1840-01-07,1840-Ene.-07/Dic-24,18 f.u.,FDL-0080,Dic-24,Lima
Denegri-Documentos.xlsx,1841-Ene.-02,1849-01-27,"Cartas dirigidas por Manuel Mariano Basagoitia, prefecto de Ayacucho, a Manuel Menéndez, presidente del Consejo de Estado, a Ramón Castilla, y a otros.","Texto manuscrito, 47 Unidades. Antigua signatura A15",1841-01-02,1841-Ene.-02/1849-Ene.-27,76 f.u.,FDL-0081,1849-Ene.-27,Ayacucho
Denegri-Documentos.xlsx,1842-Jun.-18,,Carta dirigidas por Manuel Diez Canseco a Antonia Murguía de Basagoitia.,Texto manuscrito. Antigua signatura A15,1842-06-18,1842-Jun.-18,1 f.u.,FDL-0082,,Arequipa
Denegri-Documentos.xlsx,1842-Jun.-27,,"Carta dirigida por Marcos Villafuerte a Manuel Mariano Basagoitia, prefecto de Ayacucho.",Texto manuscrito. Antigua signatura A15,1842-06-27,1842-Jun.-27,1 f.u.,FDL-0083,,Larapa
Denegri-Documentos.xlsx,1842-Nov.-25,,Carta dirigida al general Antonio Gutiérrez de la Fuente por Pedro Buenaño,Texto manuscrito. Antigua signatura A16,1842-11-25,1842-Nov.-25,1 f.u.,FDL-0084,,Lambayeque
Denegri-Documentos.xlsx,1843-Set.-05,,Expediente de la causa seguida por el Defensor de Menores de Lima contra Domingo Elías para que libere a su esclavo Cecilio Reyna Sarmiento por haber participado como soldado en la batalla de Agua Santa.,Texto manuscrito. Antigua signatura A17,,1843-Set.-05/Oct.-06,11 f.u.,FDL-0085,Oct.-06,Lima
Denegri-Documentos.xlsx,1819-May.-08,,"Traslado del inventario de bienes de Josefa Sagástegui Ortiz de Foronda, Condesa de San Antonio de Vista Alegre, viuda de Pedro Pascual de Velasco e hija de Martín Sagastegui.",Texto manuscrito. Antigua signatura A18,1819-05-08,1819-May.-08/Jun.-14,65 f.u.,FDL-0086,Jun.-14,Lima
Denegri-Documentos.xlsx,1837-Abr.-08,,"Expediente de la causa seguida por Pedro Vázquez de Velasco, capitán de fragata del Perú, contra Antonio Elizalde, general ecuatoriano; debido a pesos retenidos por éste a pedido de Gabriela Vázquez de Velasco.",Texto manuscrito. Antigua signatura A19,1837-04-08,1837-Abr.-08/Oct.-20,16 f.u.,FDL-0087,Oct.-20,Lima
Denegri-Documentos.xlsx,1835-Set.-01,,"Orden del Cuartel General de Bellavista a [Manuel Menéndez], hacendado de Bocanegra.",Texto manuscrito. Antigua signatura A20,,1835-Set.-01,1 f.u.,FDL-0088,,Lima
Denegri-Documentos.xlsx,1839-Ago.-27,,Presupuesto de los sueldos del mes de agosto correspondientes a prefecto de Lima Manuel Menéndez y a los demás empleados de la Secretaría de la Prefectura.,Texto manuscrito. 2 Unidades. Antigua signatura A20,1839-08-27,1839-Ago.-27,2 f.u.,FDL-0089,,Lima
Denegri-Documentos.xlsx,1839-Oct.-02,,Informe sobre el remate del arrendamiento de la Casa de Comedias realizado por la Junta de Almoneda en favor de Francisco de Paula Casos.,Texto manuscrito. Antigua signatura A20,1839-10-02,1839-Oct.-02,2 f.u.,FDL-0090,,Lima
