__fuente__,signatura,folios,fecha_topica,fecha_cronica_iso,fecha_cronica,observaciones,descripcion
Denegri-Documentos.xlsx,FDL-0053,5 f.u.,Lima.,fecha inválida,1839-Feb.-16/1842-May.-03,"Texto manuscrito, 5 Unidades. Antigua signatura A11",Correspondencia particular y oficial dirigida a Manuel Menéndez.
Denegri-Documentos.xlsx,FDL-0054,2 f.u.,Callao ( Lima).,fecha inválida,1843 (c.),"Texto manuscrito, (Zonas perdidas 5%). Antigua signatura A11",Informe (sin signos de validación) sobre la Judicatura del Callao y Auditoría de Marina.
Denegri-Documentos.xlsx,FDL-0055,2 f.u.,s/l.,fecha inválida,s/f.,"Texto manuscrito, 2 Unidades. Antigua signatura A11","Borradores de discursos sobre el aniversario de la independencia del Perú, en trozos de papel, autores anónimos."
Denegri-Documentos.xlsx,FDL-0056,2 f.u.,s/l.,fecha inválida,s/f.,"Texto manuscrito, 2 Unidades. Antigua signatura A10",Notas de pedido en donde se solicita un carro para el secretario y cañones útiles para el puente.
Denegri-Documentos.xlsx,FDL-0057,1 f.u.,Lima.,fecha inválida,1828-Set.-11,Texto impreso. Antigua signatura A11,"Oficio dirigido por la Municipalidad a Manuel Menéndez, donde se le comúnica que se le ha elegido comisario del valle de Bocanegra."
Denegri-Documentos.xlsx,FDL-0058,1 f.u.,Lima.,1823-06-04,1823-Jun.-04,Texto manuscrito. Antigua signatura A11,"Título de comisario del valle de Bocanegra, expedido en favor de Manuel Menéndez."
Denegri-Documentos.xlsx,FDL-0059,1 f.u.,Lima.,fecha inválida,1824-Dic.-23,Texto manuscrito. Antigua signatura A11,"Oficio dirigido por la Prefectura Departamental a Manuel Menéndez, por el que se le comúnica que ha sido reelegido comisario del valle de Bocanegra."
Denegri-Documentos.xlsx,FDL-0060,1 f.u.,Lima.,fecha inválida,Set.-14,Texto manuscrito. Antigua signatura A11,"Carta de José de Mendiburu a Manuel Menéndez, alcalde de Lima."
Denegri-Documentos.xlsx,FDL-0061,2 f.u.,Lima.,fecha inválida,s/f.,Texto manuscrito. Antigua signatura A11,"Solicitud de Manuel Menéndez, quien, como dueño de la Hacienda de Bocanegra, pide al Gobierno que le proporcione ayuda a fin de protegerla y ordenarla."
Denegri-Documentos.xlsx,FDL-0062,2 f.u.,Lima.,fecha inválida,s/f.,Texto manuscrito. Antigua signatura A11,"Solicitud de Manuel Menéndez, quien, como dueño de la Hacienda de Bocanegra, pide que le conceda moratoria en relación con el pago de una deuda; debido a los daños sufridos por su hacienda a causa de la guerra civil."
Denegri-Documentos.xlsx,FDL-0063,1f.u.,Lima.,fecha inválida,s/f.,Texto manuscrito. Antigua signatura A11,"Borrador de solicitud de Manuel Menéndez, quien, como dueño de la hacienda de Bocanegra, pide al Gobierno que le otorgue un documento donde se acredite cómo fueron los servicios de unos soldados en relación con la protección de su hacienda."
Denegri-Documentos.xlsx,FDL-0064,1 f.u.,Lima.,1832-02-22,1832-Feb.-22,Texto manuscrito. Antigua signatura A11,"Título de comisario del valle de Bocanegra, expedido en favor de Manuel Menéndez."
Denegri-Documentos.xlsx,FDL-0065,1 f.u.,Callao.,fecha inválida,1845-Dic.-06,Texto manuscrito. Antigua signatura A11,Carta de Manuel Menéndez acerca de lo que se le adeuda por sus servicios como presidente interino de la República.
Denegri-Documentos.xlsx,FDL-0066,1 f.u.,Lima.,fecha inválida,1818-Set.-18,Texto manuscrito. Antigua signatura A11,"Nombramiento de Manuel Menéndez como hermano de la ""Hermandad de Cárceles""."
Denegri-Documentos.xlsx,FDL-1367,97 f.u. 17 f. B,Cuzco.,fecha inválida,s. XVIII,Forrado en pergamino. Se encontraba en la Biblioteca Denegri. Antiguo número de clasificación en Biblioteca: REL-01416.,"""Una breve suma de las escrituras que se contienen en la archa de este convento Grande del Cuzco, del Real y Militar Orden de Nuestra Señora de la Merced."""
Denegri-Documentos.xlsx,FDL-0591,83 f.u.,"La Paz, Chuquisaca, Tacari",fecha inválida,1834-Ene.-01/Jun.-27,Encuadernado. Antigua signatura C6,Correspondencia del Mariscal Andrés de Santa Cruz.
Denegri-Documentos.xlsx,FDL-0592,75 f.u.,"Tarma, Chorrillos, Trujillo.",fecha inválida,1836-Ene.-03/Oct.-28,Encuadernado. Antigua signatura C6,Correspondencia del Mariscal Luis de Orbegoso al Mariscal Andrés de Santa Cruz.
Denegri-Documentos.xlsx,FDL-0593,68 f.u.,"Lima, Trujillo.",fecha inválida,1837-Ene.-27/Dic.-30,Encuadernado. Antigua signatura C6,Correspondencia del Mariscal Luis de Orbegoso al Mariscal Andrés de Santa Cruz.
Denegri-Documentos.xlsx,FDL-0594,59 f.u.,,fecha inválida,1827-1849,Encuadernado. Antigua signatura C6,Hechos seguidos en la vida comercial de Manuel de Argumaniz desde el año de 1827 hasta 1849.
Denegri-Documentos.xlsx,FDL-0595,75 f.u.,,fecha inválida,1849-1857,Encuadernado. Antigua signatura C6,Fundación de la primera sociedad de Manuel de Argumaniz con Julián de Zaracondegui 1849 hasta 1857.
Denegri-Documentos.xlsx,FDL-0596,104 f.u.,,fecha inválida,1857-1867,Encuadernado. Antigua signatura C6,Viaje a Lima de Manuel de Argumaniz para liquidar las dos sociedades con Julián de Zaracondegui.
Denegri-Documentos.xlsx,FDL-0597,131 f.u.,,fecha inválida,1868-1869,Encuadernado. Antigua signatura C6,Resultado del viaje a Lima de Manuel de Argumaniz y conducta observada en 1868 y 1869 por su antiguo socio Julián de Zaracondegui al fundar el Banco de Lima.
Denegri-Documentos.xlsx,FDL-0598,150 f.u.,,fecha inválida,1868-1876,Encuadernado. Antigua signatura C6,Contiene copias delas propuestas de Manuel Argumaniz sobre los ferrocarriles. La de centralizar las consignaciones del guano en la colosal casa de Rottschild y varios otros asuntos de interés para el Perú en obras publicas.
Denegri-Documentos.xlsx,FDL-0599,67 f.u.,,fecha inválida,1847-1868,Encuadernado. Antigua signatura C6,Reseña de la extraña conducta y procedimientos de los representantes del Perú en Europa.
Denegri-Documentos.xlsx,FDL-0067,1 f.u.,Lima.,1834-10-02,1834-Oct.-02,Texto manuscrito. Antigua signatura A11,"Solicitud de Manuel Menéndez, quien, como propietario de la Hacienda de Bocanegra, pide copias auténticas de ciertos informes archivados en el Ministerio de Hacienda."
Denegri-Documentos.xlsx,FDL-0068,1 f.u.,Lima.,fecha inválida,1834 ó 1835,Texto manuscrito. Antigua signatura A11,"Borrador de oficio no terminado dirigido al Subprefecto [de Lima] por Manuel Menéndez, como propietario de la Hacienda de Bocanegra."
Denegri-Documentos.xlsx,FDL-0069,2 f.u.,Lima.,1832-05-21,1832-May.-21,Texto manuscrito. Antigua signatura A11,"Circular de la Subprefectura de Lima dirigida a Manuel Menéndez, comisario del valle de Bocanegra, y a todos los hacendados del territorio a cargo de éste."
Denegri-Documentos.xlsx,FDL-0070,2 f.u.,s/l.,fecha inválida,s/f.,Texto manuscrito. Antigua signatura A11,Copia simple de auto relativo al proceso seguido por Manuel Menéndez contra el Gobierno por daños causados contra su hacienda de Bocanegra durante la guerra.
Denegri-Documentos.xlsx,FDL-0071,4 f.u.,s/l.,fecha inválida,1853-Jun.-,Texto manuscrito. 1 Unidad y carátula. Incluye Carátula. Antigua signatura A11,"Libro de cuentas de los trabajadores de la mina ""San Antonio""."
Denegri-Documentos.xlsx,FDL-0072,1 f.u.,Lima.,1845-02-12,1845-Feb.-12,Texto manuscrito. Antigua signatura A11,"José Antonio Ugarte, vecino de Lima, solicita que se nombre a su hijo José Antonio Ugarte capellán de una capellanía."
Denegri-Documentos.xlsx,FDL-0073,1f.u.,Lima.,fecha inválida,1841-Abr.-23,Texto manuscrito. Antigua signatura A11,Oficio dirigido por la Intendencia de Policía de Lima a José Cirilo Espinoza.
Denegri-Documentos.xlsx,FDL-0074,1 f.u.,Lima.,1835-01-01,1835,Texto manuscrito. Antigua signatura A11,Relación de cantidades de trigo y harina introducidos en Lima desde julio hasta octubre de 1835.
Denegri-Documentos.xlsx,FDL-0075,1 f.u.,Lima.,1840-02-14,1840-Feb.-14,Texto manuscrito. Antigua signatura A12,Oficio dirigido a Manuel Menéndez por la Tesorería General.
Denegri-Documentos.xlsx,FDL-0076,1 f.u.,Lima.,1840-02-13,1840-Feb.-13,Texto manuscrito. Antigua signatura A12,Oficio dirigido por la Prefectura de Lima a la Administración de la Tesorería General.
Denegri-Documentos.xlsx,FDL-0077,1 f.u.,Lima.,fecha inválida,1840-Ago.-08,Texto manuscrito. Antigua signatura A12,Oficio dirigido a Manuel Menéndez por la Beneficencia Pública de Lima.
Denegri-Documentos.xlsx,FDL-0078,45 f.u.,Lima.,fecha inválida,1839-Mar.-01/1844-Mar.-18,Texto manuscrito. 28 Unidades. Antigua signatura A13,"Cuentas y recibos de dependencias estatales (Prefectura de Lima, Subprefectura, Cabildo, etc.), pertenecientes en su mayoría del año 1839"
Denegri-Documentos.xlsx,FDL-0079,1 f.u.,Lima.,1840-10-31,1840-Oct.-31,Texto manuscrito. Antigua signatura A14,"Minuta de arrendamiento otorgado por Manuel Menéndez a Manuel Champa. Bocanegra,"
Denegri-Documentos.xlsx,FDL-0080,18 f.u.,Lima.,fecha inválida,1840-Ene.-07/Dic-24,Texto manuscrito. 18 Unidades. Uno de los recibos está muy quemado por tinta. Antigua signatura A14,"Documentos (recibos, cuentas) relativos a Manuel Menéndez, como dueño de la Hacienda de Bocanegra."
Denegri-Documentos.xlsx,FDL-0081,76 f.u.,Ayacucho.,fecha inválida,1841-Ene.-02/1849-Ene.-27,"Texto manuscrito, 47 Unidades. Antigua signatura A15","Cartas dirigidas por Manuel Mariano Basagoitia, prefecto de Ayacucho, a Manuel Menéndez, presidente del Consejo de Estado, a Ramón Castilla, y a otros.."
Denegri-Documentos.xlsx,FDL-0082,1 f.u.,Arequipa.,1842-06-18,1842-Jun.-18,Texto manuscrito. Antigua signatura A15,Carta dirigidas por Manuel Diez Canseco a Antonia Murguía de Basagoitia.
Denegri-Documentos.xlsx,FDL-0083,1 f.u.,Larapa.,1842-06-27,1842-Jun.-27,Texto manuscrito. Antigua signatura A15,"Carta dirigida por Marcos Villafuerte a Manuel Mariano Basagoitia, prefecto de Ayacucho."
Denegri-Documentos.xlsx,FDL-0084,1 f.u.,Lambayeque.,1842-11-25,1842-Nov.-25,Texto manuscrito. Antigua signatura A16,Carta dirigida al general Antonio Gutiérrez de la Fuente por Pedro Buenaño
Denegri-Documentos.xlsx,FDL-0085,11 f.u.,Lima.,fecha inválida,1843-Set.-05/Oct.-06,Texto manuscrito. Antigua signatura A17,Expediente de la causa seguida por el Defensor de Menores de Lima contra Domingo Elías para que libere a su esclavo Cecilio Reyna Sarmiento por haber participado como soldado en la batalla de Agua Santa.
Denegri-Documentos.xlsx,FDL-0086,65 f.u.,Lima.,fecha inválida,1819-May.-08/Jun.-14,Texto manuscrito. Antigua signatura A18,"Traslado del inventario de bienes de Josefa Sagástegui Ortiz de Foronda, Condesa de San Antonio de Vista Alegre, viuda de Pedro Pascual de Velasco e hija de Martín Sagastegui."
Denegri-Documentos.xlsx,FDL-0087,16 f.u.,Lima.,fecha inválida,1837-Abr.-08/Oct.-20,Texto manuscrito. Antigua signatura A19,"Expediente de la causa seguida por Pedro Vázquez de Velasco, capitán de fragata del Perú, contra Antonio Elizalde, general ecuatoriano; debido a pesos retenidos por éste a pedido de Gabriela Vázquez de Velasco."
Denegri-Documentos.xlsx,FDL-0088,1 f.u.,Lima.,fecha inválida,1835-Set.-01,Texto manuscrito. Antigua signatura A20,"Orden del Cuartel General de Bellavista a [Manuel Menéndez], hacendado de Bocanegra."
Denegri-Documentos.xlsx,FDL-0089,2 f.u.,Lima.,fecha inválida,1839-Ago.-27,Texto manuscrito. 2 Unidades. Antigua signatura A20,Presupuesto de los sueldos del mes de agosto correspondientes a prefecto de Lima Manuel Menéndez y a los demás empleados de la Secretaría de la Prefectura.
Denegri-Documentos.xlsx,FDL-0090,2 f.u.,Lima.,1839-10-02,1839-Oct.-02,Texto manuscrito. Antigua signatura A20,Informe sobre el remate del arrendamiento de la Casa de Comedias realizado por la Junta de Almoneda en favor de Francisco de Paula Casos.
Denegri-Documentos.xlsx,FDL-0091,1 f.u.,Lima.,fecha inválida,1839-Ago.-01,Texto manuscrito. Antigua signatura A20,Cuentas hechas por M. Carmelino en relación con la compra de útiles de escritorio para la Prefectura de Lima.
Denegri-Documentos.xlsx,FDL-0092,3 f.u.,Lima.,fecha inválida,1835-Oct.-21/Dic.-05,Texto manuscrito. 3 Unidades. Uno está quemado por tinta. Antigua signatura A20,"Oficios dirigidos a Manuel Menéndez, alcalde de Lima, por M. José de Rueda."
Denegri-Documentos.xlsx,FDL-0093,1f.u.,Lima.,1835-03-06,1835-Mar.-06,Texto manuscrito. Antigua signatura A20,"Oficio dirigido a Manuel Menéndez, juez de paz, por la Secretaría de Cámara."
Denegri-Documentos.xlsx,FDL-0094,1 f.u.,s/l.,1838-01-01,1838,Texto manuscrito. Antigua signatura A20,Solicitud de dote dirigida por Antonia Menéndez al Supremo Gobierno.
Denegri-Documentos.xlsx,FDL-0095,4 f.u.,Lima.,fecha inválida,1839-Abr.-04/ May.-16,Texto manuscrito. 3 Unidades. Antigua signatura A20,"Carta dirigida al Prefecto de Lima por Manuel Figueroa, encargado del abastecimiento de artículos de escritorio para una oficina pública."
Denegri-Documentos.xlsx,FDL-0096,1 f.u.,Lima.,fecha inválida,1835-Ago.-16,Texto manuscrito. Antigua signatura A20,"Oficio dirigido por José Valerio G. a Manuel Menéndez, alcalde de Lima."
Denegri-Documentos.xlsx,FDL-0097,1 f.u.,Chancay.,1839-07-28,1839-Jul.-28,Texto manuscrito. Antigua signatura A20,"Oficio dirigido a Manuel Menéndez, prefecto de Lima, por Juan Blanco."
Denegri-Documentos.xlsx,FDL-0098,1 f.u.,Lima.,fecha inválida,1835-Oct.-29/Nov.-02,"Texto manuscrito, incluye carátula. Antigua signatura A20","Instancia promovida por Julián García Amado contra José Domingo Cáceres, fiador del actor Fedriani. Juez: Manuel Menéndez."
